"ITEM CODE";"PARTICULARS";"UOM";"CASE SIZE";"SALE UOM BREAKUP";"SALE UOM (ml/no)";"COST PRICE BTL";"COST PRICE SML/GLS";"COST PRICE ML";"Big Bang Bandra";"BKC";"Lower Parel";"Juhu";"Colaba";"Andheri";"Malad";"Dadar";"THANE";"Chembur";"TOTAL STOCK";"TOTAL CASES";"TOTAL AMOUNT"
"BEER: IMPORTED";"SHEPHERD DOUBLE STOUT         ";1;24;1;1;306.25;306.25;306.25;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: IMPORTED";"STELLA ARTIOS BEER (330 ML)";1;24;1;1;262.0;262.0;262.0;126.0;54.0;213.0;115.0;1.0;122.0;197;29.0;0.0;136.0;993.0;41.375;260166.0
"BEER: IMPORTED";"WEIZEN BEER";1;24;1;1;267.92;267.92;267.92;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: IMPORTED";"KRONEBERG BLAC BEER";1;24;1;1;231.36;231.36;231.36;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: IMPORTED";"SINGHA BEER                   ";1;24;1;1;233.91;233.91;233.91;32.0;48.0;22.0;0.0;38.0;0.0;28;45.0;0.0;45.0;258.0;10.75;60348.78
"BEER: IMPORTED";"TSINGTAO BEER                 ";1;24;1;1;162.82;162.82;162.82;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: IMPORTED";"STELLA ARTIOS BEER DRAFT (30Ltr)";30000;1;30000;30000;18000.0;0.6;0.6;0.06666666666666667;0.5;2.5;3.5;0.0;0.0;0;0.0;0.0;0.0;6.566666666666666;6.566666666666666;118200.0
"BEER: IMPORTED";"HOGARDEN BEER DRAFT (30Ltr)";30000;1;30000;30000;18000.0;0.6;0.6;0.06666666666666667;1.0;1.5;0.0;0.0;0.0;0;0.0;0.0;0.0;2.5666666666666664;2.5666666666666664;46199.99999999999
"BEER: IMPORTED";"BIRA 91 BLONDE BEER DRAFT (30LTR)";30000;1;30000;30000;6075.0;0.2025;0.2025;1.0;1.0;1.5;0.7666666666666667;0.0;1.076;1;0.0;0.0;0.0;6.342666666666666;6.342666666666666;38531.7
"BEER: IMPORTED";"BIRA 91 WHITE BEER DRAFT (30LTR)";30000;1;30000;30000;6075.0;0.2025;0.2025;0.3333333333333333;0.5;0.0;0.5;0.0;0.0;6;0.0;0.0;2.4983333333333335;9.831666666666667;9.831666666666667;59727.375
"BEER: IMPORTED";"BIRA 91 BLONDE BEER DRAFT (20LTR)";20000;1;20000;20000;3900.0;0.195;0.195;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: IMPORTED";"BIRA 91 WHITE BEER DRAFT (20LTR)";20000;1;20000;20000;4260.0;0.213;0.213;0.0;0.0;1.5;0.0;0.0;0.0;0;0.0;0.0;0.0;1.5;1.5;6390.0
"BEER: IMPORTED";"BIRA 91 LIGHT BEER DRAFT (20LTR)";20000;1;20000;20000;4260.0;0.213;0.213;1.0;2.0;1.0;2.25;0.0;1.34;3;0.0;0.0;0.0;10.59;10.59;45113.4
"BREEZER";"BREEZER BLACK BERRY";1;24;1;1;112.36375;112.36375;112.36375;120.0;120.0;96.0;96.0;96.0;72.0;72;72.0;0.0;72.0;816.0;34.0;91688.81999999999
"BREEZER";"BREEZER BLUE BERRY";1;24;1;1;112.36375;112.36375;112.36375;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BREEZER";"BREEZER CANBERRY";1;24;1;1;112.36375;112.36375;112.36375;96.0;96.0;168.0;72.0;96.0;72.0;144;24.0;0.0;120.0;888.0;37.0;99779.01
"BREEZER";"BREEZER GREEN APPLE";1;24;1;1;112.36375;112.36375;112.36375;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BREEZER";"BREEZER JAMAICAN PASSION";1;24;1;1;112.36375;112.36375;112.36375;120.0;48.0;216.0;96.0;120.0;72.0;72;0.0;0.0;144.0;888.0;37.0;99779.01
"BREEZER";"BREEZER ORANGE";1;24;1;1;112.36375;112.36375;112.36375;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BREEZER";"KINGFISHER BUZZ LYTCEE";1;24;1;1;61.47;61.47;61.47;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BREEZER";"KINGFISHER BUZZ RASBERRY";1;24;1;1;61.47;61.47;61.47;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BREEZER";"BREEZER LEMON";1;24;1;1;112.36375;112.36375;112.36375;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BREEZER";"BREEZER all mix";1;24;1;1;112.36375;112.36375;112.36375;83.0;138.0;98.0;87.0;27.0;36.0;99;37.0;0.0;64.0;669.0;27.875;75171.34874999999
"WINE: DOMESTIC";"CHANDAN BRUT";750;12;5;150;597.98;119.596;0.7973066666666667;13.0;7.0;13.0;13.4;10.0;4.0;7;9.0;0.0;8.0;84.4;7.033333333333334;50469.512
"WINE: DOMESTIC";"CHANDAN BRUT ROSE";750;12;5;150;1500.0;300.0;2.0;5.0;2.0;8.0;7.0;6.0;2.0;5;0.0;0.0;5.0;40.0;3.3333333333333335;60000.0
"WINE: DOMESTIC";"CHAROSA RED";750;12;5;150;161.38;32.275999999999996;0.21517333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WINE: DOMESTIC";"CHAROSA SAUVIGNON";750;12;5;150;350.0;70.0;0.4666666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WINE: DOMESTIC";"CHAROSA SELECTION SHIRAZ";750;12;5;150;161.38;32.275999999999996;0.21517333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WINE: DOMESTIC";"CHAROSA VINEYUR";750;12;5;150;350.0;70.0;0.4666666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WINE: DOMESTIC";"CHAROSA WHITE";750;12;5;150;161.38;32.275999999999996;0.21517333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
